Case ID,Case Title,Case Type,Case Status,Case Assigned To,Case Start Date,Case Close Date,Parties Involved,Case Documents,Case Tasks,Case Notes
PI035,Upon name finish system.,Slip and Fall,In Progress,Anne Schneider,2022-12-16,2023-03-31,[],"[{'Case ID': 'PI035', 'Document ID': 96457, 'Document Name': 'too.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI035', 'Document ID': 10979, 'Document Name': 'nearly.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI035', 'Document ID': 19950, 'Document Name': 'like.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI035', 'Document ID': 22094, 'Document Name': 'public.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI035', 'Document ID': 22075, 'Document Name': 'Cultural question fast.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 12, 22), 'Created By': 'Cynthia Charles', 'Date Last Modified': datetime.date(2023, 2, 12), 'Last Modified By': 'Jason Brooks'}, {'Case ID': 'PI035', 'Document ID': 71381, 'Document Name': 'Act car.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2023, 1, 23), 'Created By': 'Andrea Reilly', 'Date Last Modified': datetime.date(2023, 4, 5), 'Last Modified By': 'Pamela Aguilar'}, {'Case ID': 'PI035', 'Document ID': 44166, 'Document Name': 'Until happen why.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2023, 1, 29), 'Created By': 'Rebecca Chapman', 'Date Last Modified': datetime.date(2023, 4, 1), 'Last Modified By': 'Stephen Roy'}]","[{'Case ID': 'PI035', 'Task ID': 71177, 'Task Description': 'Memory avoid experience suggest cut sense reach.', 'Assigned To': 'Thomas French', 'Task Due Date': datetime.date(2023, 2, 9), 'Task Status': 'Pending'}, {'Case ID': 'PI035', 'Task ID': 91238, 'Task Description': 'Dark concern dark and recent law across.', 'Assigned To': 'Juan Perez', 'Task Due Date': datetime.date(2022, 12, 27), 'Task Status': 'Pending'}, {'Case ID': 'PI035', 'Task ID': 83877, 'Task Description': 'Hospital family together product over themselves individual money audience.', 'Assigned To': 'Heather Munoz', 'Task Due Date': datetime.date(2023, 3, 22), 'Task Status': 'Completed'}]","[{'Case ID': 'PI035', 'Note ID': 8576, 'Note Content': 'Discover little report party choice. Sort purpose learn message weight its research. Half fast source state present concern.', 'Created By': 'Mary Potter', 'Date Created': datetime.date(2023, 1, 7)}]"
PI036,That who hold parent impact drop conference example.,Product Liability,Open,Donna Fields,2022-03-29,2023-01-18,[],"[{'Case ID': 'PI036', 'Document ID': 46856, 'Document Name': 'yeah.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI036', 'Document ID': 61405, 'Document Name': 'response.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI036', 'Document ID': 66907, 'Document Name': 'rate.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI036', 'Document ID': 76544, 'Document Name': 'Notice natural test.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 10, 8), 'Created By': 'Cathy Mcdonald', 'Date Last Modified': datetime.date(2022, 10, 15), 'Last Modified By': 'Brett Jacobs'}, {'Case ID': 'PI036', 'Document ID': 30387, 'Document Name': 'Sister ago owner want.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 7, 31), 'Created By': 'Michael Alvarez', 'Date Last Modified': datetime.date(2023, 5, 21), 'Last Modified By': 'Diana Schmidt'}, {'Case ID': 'PI036', 'Document ID': 33220, 'Document Name': 'Film southern street sister tree.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 10, 7), 'Created By': 'Paul Peterson', 'Date Last Modified': datetime.date(2023, 1, 3), 'Last Modified By': 'Jeremy Alvarado'}, {'Case ID': 'PI036', 'Document ID': 53606, 'Document Name': 'Mouth exactly loss word.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 8, 3), 'Created By': 'April Harding', 'Date Last Modified': datetime.date(2022, 12, 1), 'Last Modified By': 'Tamara Morris'}]","[{'Case ID': 'PI036', 'Task ID': 42831, 'Task Description': 'Institution capital us former Republican choose phone store here term.', 'Assigned To': 'Lisa Phillips', 'Task Due Date': datetime.date(2022, 5, 6), 'Task Status': 'Pending'}, {'Case ID': 'PI036', 'Task ID': 15448, 'Task Description': 'Himself suddenly describe or wrong loss anyone lead natural.', 'Assigned To': 'David Hill', 'Task Due Date': datetime.date(2022, 8, 21), 'Task Status': 'Completed'}]","[{'Case ID': 'PI036', 'Note ID': 90052, 'Note Content': 'Toward real discuss will since fill chair available. Thought soon whatever sense information six safe crime. Though more test later mind point tax.', 'Created By': 'Doris Reynolds', 'Date Created': datetime.date(2022, 6, 21)}]"
PI037,Argue security face.,Slip and Fall,Closed,Emily Stephens,2023-02-21,2023-04-28,[],"[{'Case ID': 'PI037', 'Document ID': 92975, 'Document Name': 'Production laugh safe detail.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 3, 2), 'Created By': 'Ashley Hawkins', 'Date Last Modified': datetime.date(2023, 3, 3), 'Last Modified By': 'Jasmine White'}, {'Case ID': 'PI037', 'Document ID': 94143, 'Document Name': 'Nature girl accept.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2023, 3, 20), 'Created By': 'Sophia Browning', 'Date Last Modified': datetime.date(2023, 4, 10), 'Last Modified By': 'Phillip Parker'}]","[{'Case ID': 'PI037', 'Task ID': 9647, 'Task Description': 'Store record Mr not occur.', 'Assigned To': 'Katelyn Turner', 'Task Due Date': datetime.date(2023, 2, 21), 'Task Status': 'Pending'}, {'Case ID': 'PI037', 'Task ID': 45490, 'Task Description': 'Significant suffer responsibility think former project manage popular clear talk position.', 'Assigned To': 'Kevin Garcia', 'Task Due Date': datetime.date(2023, 3, 12), 'Task Status': 'Pending'}]","[{'Case ID': 'PI037', 'Note ID': 2896, 'Note Content': 'Piece country before already wonder lawyer meeting. Agree game note feeling travel.', 'Created By': 'Richard Anderson', 'Date Created': datetime.date(2023, 3, 22)}, {'Case ID': 'PI037', 'Note ID': 1466, 'Note Content': 'Democratic few range look. Mouth mother step house remain. Whole teach property.', 'Created By': 'Carl Wright', 'Date Created': datetime.date(2023, 4, 16)}]"
PI038,So staff whose course friend.,Slip and Fall,Open,Philip Alvarez,2022-06-11,2022-06-12,[],"[{'Case ID': 'PI038', 'Document ID': 55106, 'Document Name': 'reflect.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI038', 'Document ID': 4910, 'Document Name': 'friend.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI038', 'Document ID': 81959, 'Document Name': 'much.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI038', 'Document ID': 7740, 'Document Name': 'Him art.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 6, 11), 'Created By': 'Ronald James', 'Date Last Modified': datetime.date(2023, 3, 5), 'Last Modified By': 'Cheryl Torres'}]","[{'Case ID': 'PI038', 'Task ID': 21452, 'Task Description': 'Visit movement by life view accept security black consider must.', 'Assigned To': 'Crystal Johnson', 'Task Due Date': datetime.date(2022, 6, 11), 'Task Status': 'Completed'}]","[{'Case ID': 'PI038', 'Note ID': 56705, 'Note Content': 'Conference these child clearly modern sure memory. Production model above wish side meet. Challenge everyone expect word everything because teach thousand.', 'Created By': 'Troy Hardy', 'Date Created': datetime.date(2022, 6, 11)}, {'Case ID': 'PI038', 'Note ID': 62583, 'Note Content': 'On serve your natural contain half today what. That describe mouth student party task.', 'Created By': 'Curtis Arnold', 'Date Created': datetime.date(2022, 6, 11)}, {'Case ID': 'PI038', 'Note ID': 91769, 'Note Content': 'Use performance while treat. Project nation recent part continue owner trip. But wear second.', 'Created By': 'Michelle Jones', 'Date Created': datetime.date(2022, 6, 11)}]"
PI039,Car serve rest single develop second experience race.,Motor Vehicle Accident,Closed,Albert Lozano,2022-01-24,2022-02-04,[],"[{'Case ID': 'PI039', 'Document ID': 61186, 'Document Name': 'Bag minute identify consumer.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 1, 25), 'Created By': 'Carlos Carpenter', 'Date Last Modified': datetime.date(2022, 5, 3), 'Last Modified By': 'Andrew Crawford'}, {'Case ID': 'PI039', 'Document ID': 68254, 'Document Name': 'More perhaps risk.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 2, 1), 'Created By': 'James Smith', 'Date Last Modified': datetime.date(2023, 3, 10), 'Last Modified By': 'Christopher Guzman'}]","[{'Case ID': 'PI039', 'Task ID': 81181, 'Task Description': 'Top under subject others several.', 'Assigned To': 'Melanie Turner', 'Task Due Date': datetime.date(2022, 2, 2), 'Task Status': 'Pending'}, {'Case ID': 'PI039', 'Task ID': 18929, 'Task Description': 'Skin will likely hope evening notice billion serious indicate believe.', 'Assigned To': 'Alison Peterson', 'Task Due Date': datetime.date(2022, 1, 27), 'Task Status': 'Pending'}, {'Case ID': 'PI039', 'Task ID': 52487, 'Task Description': 'Thank laugh site whatever third thus hotel.', 'Assigned To': 'Stephen Cruz', 'Task Due Date': datetime.date(2022, 1, 26), 'Task Status': 'Completed'}]","[{'Case ID': 'PI039', 'Note ID': 83720, 'Note Content': 'No stop huge central your start task on. Real class important part add generation too.', 'Created By': 'James Castro', 'Date Created': datetime.date(2022, 1, 24)}, {'Case ID': 'PI039', 'Note ID': 49223, 'Note Content': 'Into around fly use point. Land general seem. Film course book.', 'Created By': 'Arthur Scott', 'Date Created': datetime.date(2022, 2, 3)}, {'Case ID': 'PI039', 'Note ID': 97410, 'Note Content': 'Husband really cause hand. Sing ahead value perhaps simple money woman.', 'Created By': 'Monique Brown', 'Date Created': datetime.date(2022, 1, 27)}]"
PI040,Sell success develop current then chair official.,Slip and Fall,Open,Tristan Wolf,2022-06-28,2022-07-17,[],"[{'Case ID': 'PI040', 'Document ID': 42150, 'Document Name': 'Laugh color run.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 7, 9), 'Created By': 'Jeffrey Hughes', 'Date Last Modified': datetime.date(2023, 5, 25), 'Last Modified By': 'Christopher Henderson'}, {'Case ID': 'PI040', 'Document ID': 56369, 'Document Name': 'Receive give.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 7, 11), 'Created By': 'Brian Meadows', 'Date Last Modified': datetime.date(2023, 4, 28), 'Last Modified By': 'Adam Coleman'}, {'Case ID': 'PI040', 'Document ID': 93697, 'Document Name': 'Story debate environment positive.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 7, 2), 'Created By': 'Lisa Alvarez', 'Date Last Modified': datetime.date(2023, 5, 5), 'Last Modified By': 'Leah Thomas'}, {'Case ID': 'PI040', 'Document ID': 35118, 'Document Name': 'Care operation college for.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 7, 4), 'Created By': 'Michael Peters', 'Date Last Modified': datetime.date(2022, 8, 28), 'Last Modified By': 'Ashley Bond'}, {'Case ID': 'PI040', 'Document ID': 989, 'Document Name': 'Paper live son.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 7, 8), 'Created By': 'Christopher Baker', 'Date Last Modified': datetime.date(2022, 10, 11), 'Last Modified By': 'Michael Long'}]","[{'Case ID': 'PI040', 'Task ID': 66449, 'Task Description': 'Culture girl education read conference best.', 'Assigned To': 'Jennifer Allison', 'Task Due Date': datetime.date(2022, 6, 29), 'Task Status': 'Completed'}, {'Case ID': 'PI040', 'Task ID': 89739, 'Task Description': 'Risk south impact up mother.', 'Assigned To': 'David Schultz', 'Task Due Date': datetime.date(2022, 7, 7), 'Task Status': 'Pending'}]","[{'Case ID': 'PI040', 'Note ID': 45934, 'Note Content': 'Moment fly suffer do fight. They conference per school without. Senior remember suffer data us.', 'Created By': 'Tyrone Rodriguez', 'Date Created': datetime.date(2022, 6, 30)}, {'Case ID': 'PI040', 'Note ID': 80806, 'Note Content': 'Bring cold maybe believe.', 'Created By': 'Martin Franco', 'Date Created': datetime.date(2022, 7, 12)}, {'Case ID': 'PI040', 'Note ID': 68206, 'Note Content': 'Both allow chance feeling course focus attention. Budget arrive among return dream others.', 'Created By': 'Marcia Dillon', 'Date Created': datetime.date(2022, 7, 11)}, {'Case ID': 'PI040', 'Note ID': 69416, 'Note Content': 'Fall yourself answer during him. Feeling during result beautiful condition. Bed act side entire find.', 'Created By': 'Frank Gill', 'Date Created': datetime.date(2022, 7, 13)}]"
PI041,Like expert believe head focus fight central.,Product Liability,Closed,Patricia Brown,2022-08-19,2022-12-14,[],"[{'Case ID': 'PI041', 'Document ID': 58318, 'Document Name': 'news.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI041', 'Document ID': 58389, 'Document Name': 'alone.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI041', 'Document ID': 82456, 'Document Name': 'act.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI041', 'Document ID': 16704, 'Document Name': 'power.pdf', 'Document Type': 'Agreement'}, {'Case ID': 'PI041', 'Document ID': 22709, 'Document Name': 'customer.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI041', 'Document ID': 72762, 'Document Name': 'Agreement again part.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 10, 16), 'Created By': 'Carly Solomon', 'Date Last Modified': datetime.date(2023, 5, 9), 'Last Modified By': 'Jeremy Norris'}, {'Case ID': 'PI041', 'Document ID': 11305, 'Document Name': 'His bit thing exist.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 11, 13), 'Created By': 'Jason Farmer', 'Date Last Modified': datetime.date(2023, 2, 27), 'Last Modified By': 'Crystal Fuller'}, {'Case ID': 'PI041', 'Document ID': 2587, 'Document Name': 'Technology pretty.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 12, 13), 'Created By': 'Louis Gonzalez', 'Date Last Modified': datetime.date(2023, 2, 9), 'Last Modified By': 'Edward Short'}, {'Case ID': 'PI041', 'Document ID': 24933, 'Document Name': 'Worry far state.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 8, 25), 'Created By': 'Kathryn Williams', 'Date Last Modified': datetime.date(2022, 12, 6), 'Last Modified By': 'Amy Lee'}, {'Case ID': 'PI041', 'Document ID': 82248, 'Document Name': 'Civil couple decision before.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 11, 8), 'Created By': 'Angel Evans', 'Date Last Modified': datetime.date(2023, 4, 15), 'Last Modified By': 'Jesus Watson'}]","[{'Case ID': 'PI041', 'Task ID': 1344, 'Task Description': 'Television leave range network whether you change.', 'Assigned To': 'Melissa Schneider', 'Task Due Date': datetime.date(2022, 11, 21), 'Task Status': 'Pending'}, {'Case ID': 'PI041', 'Task ID': 77210, 'Task Description': 'Art free its live agreement.', 'Assigned To': 'Vanessa Finley', 'Task Due Date': datetime.date(2022, 11, 19), 'Task Status': 'Pending'}, {'Case ID': 'PI041', 'Task ID': 10427, 'Task Description': 'Five film force medical marriage positive within.', 'Assigned To': 'John Harris', 'Task Due Date': datetime.date(2022, 10, 31), 'Task Status': 'Pending'}]","[{'Case ID': 'PI041', 'Note ID': 26009, 'Note Content': 'Very gun some billion. Record artist read build bank carry wear thus. Final fill late will return.', 'Created By': 'Jeffrey Rogers', 'Date Created': datetime.date(2022, 10, 25)}]"
PI042,Consumer seat all believe need important receive want.,Product Liability,In Progress,Erik Singleton,2021-07-06,2023-04-03,[],"[{'Case ID': 'PI042', 'Document ID': 4805, 'Document Name': 'week.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI042', 'Document ID': 92799, 'Document Name': 'movement.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI042', 'Document ID': 88772, 'Document Name': 'Area skill.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 2, 13), 'Created By': 'Jill Stafford', 'Date Last Modified': datetime.date(2022, 4, 7), 'Last Modified By': 'John Adams'}, {'Case ID': 'PI042', 'Document ID': 97533, 'Document Name': 'Kitchen deal girl cup.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2021, 8, 23), 'Created By': 'Robert Black', 'Date Last Modified': datetime.date(2022, 5, 29), 'Last Modified By': 'Anthony Wright'}, {'Case ID': 'PI042', 'Document ID': 93840, 'Document Name': 'Buy without point.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 6, 13), 'Created By': 'John Craig', 'Date Last Modified': datetime.date(2022, 12, 22), 'Last Modified By': 'David Harris'}, {'Case ID': 'PI042', 'Document ID': 48074, 'Document Name': 'Fear four anything.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 8, 19), 'Created By': 'Brenda Hughes', 'Date Last Modified': datetime.date(2022, 9, 25), 'Last Modified By': 'Loretta Watson'}, {'Case ID': 'PI042', 'Document ID': 31451, 'Document Name': 'Move recent age meeting.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 12, 7), 'Created By': 'Megan Waters', 'Date Last Modified': datetime.date(2023, 3, 24), 'Last Modified By': 'Courtney Duncan'}]","[{'Case ID': 'PI042', 'Task ID': 18803, 'Task Description': 'Realize reason knowledge campaign special than perhaps method she especially.', 'Assigned To': 'Jeremy Perez', 'Task Due Date': datetime.date(2022, 10, 23), 'Task Status': 'Pending'}, {'Case ID': 'PI042', 'Task ID': 5911, 'Task Description': 'Team plan smile probably animal decision.', 'Assigned To': 'Grant Schaefer', 'Task Due Date': datetime.date(2021, 7, 28), 'Task Status': 'Pending'}, {'Case ID': 'PI042', 'Task ID': 71331, 'Task Description': 'Board guess response central state chair part enter.', 'Assigned To': 'Anthony Anderson', 'Task Due Date': datetime.date(2022, 12, 4), 'Task Status': 'Completed'}]","[{'Case ID': 'PI042', 'Note ID': 16004, 'Note Content': 'Win work huge world everything fund. Pay real camera television. Herself ahead attorney blood maybe.', 'Created By': 'Joseph Perry', 'Date Created': datetime.date(2022, 3, 9)}]"
PI043,Control property painting very.,Motor Vehicle Accident,Open,Linda Robinson,2021-06-22,2022-10-29,[],"[{'Case ID': 'PI043', 'Document ID': 83704, 'Document Name': 'start.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI043', 'Document ID': 69675, 'Document Name': 'build.pdf', 'Document Type': 'Medical Report'}, {'Case ID': 'PI043', 'Document ID': 34411, 'Document Name': 'college.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI043', 'Document ID': 33731, 'Document Name': 'heart.pdf', 'Document Type': 'Evidence'}, {'Case ID': 'PI043', 'Document ID': 29188, 'Document Name': 'Every western process memory.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 6, 4), 'Created By': 'Christopher Lee', 'Date Last Modified': datetime.date(2023, 1, 15), 'Last Modified By': 'Cynthia Castro'}, {'Case ID': 'PI043', 'Document ID': 14088, 'Document Name': 'Couple late act eight.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2022, 10, 20), 'Created By': 'Abigail Ramirez', 'Date Last Modified': datetime.date(2022, 11, 25), 'Last Modified By': 'Stanley Foster'}, {'Case ID': 'PI043', 'Document ID': 6829, 'Document Name': 'Important similar minute.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2021, 7, 6), 'Created By': 'Sarah Woods', 'Date Last Modified': datetime.date(2021, 9, 9), 'Last Modified By': 'Gail White'}]","[{'Case ID': 'PI043', 'Task ID': 45363, 'Task Description': 'Degree discuss final phone relate hit person go unit store.', 'Assigned To': 'Michael Choi', 'Task Due Date': datetime.date(2021, 8, 23), 'Task Status': 'Completed'}, {'Case ID': 'PI043', 'Task ID': 52438, 'Task Description': 'Ok number Democrat break when those everything.', 'Assigned To': 'Douglas Nguyen', 'Task Due Date': datetime.date(2022, 9, 7), 'Task Status': 'Completed'}]","[{'Case ID': 'PI043', 'Note ID': 98273, 'Note Content': 'Listen skill writer student quality answer. Meeting about glass subject. Experience high everybody popular. Way better this author international one.', 'Created By': 'Justin Buchanan', 'Date Created': datetime.date(2022, 8, 13)}, {'Case ID': 'PI043', 'Note ID': 78370, 'Note Content': 'Action once detail agree common five worker few.', 'Created By': 'Samantha Casey', 'Date Created': datetime.date(2021, 8, 16)}, {'Case ID': 'PI043', 'Note ID': 59880, 'Note Content': 'Growth follow offer standard industry discussion himself figure. Know someone program.', 'Created By': 'Deanna Smith', 'Date Created': datetime.date(2022, 8, 21)}, {'Case ID': 'PI043', 'Note ID': 10762, 'Note Content': 'Hour protect a. Price five cell top ground.', 'Created By': 'Sean Shea', 'Date Created': datetime.date(2021, 12, 12)}]"
PI044,Tend security physical option reveal season turn.,Product Liability,Closed,Linda Mack,2023-04-27,2023-05-04,[],"[{'Case ID': 'PI044', 'Document ID': 39533, 'Document Name': 'Federal country story fish.', 'Document Type': 'Medical Records', 'Date Created': datetime.date(2023, 5, 1), 'Created By': 'Michael Horn', 'Date Last Modified': datetime.date(2023, 5, 12), 'Last Modified By': 'Selena Douglas'}, {'Case ID': 'PI044', 'Document ID': 39250, 'Document Name': 'Tax everyone true six third.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2023, 5, 1), 'Created By': 'James Hendricks', 'Date Last Modified': datetime.date(2023, 5, 19), 'Last Modified By': 'Maurice Dunlap'}, {'Case ID': 'PI044', 'Document ID': 32824, 'Document Name': 'Government sport.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2023, 4, 27), 'Created By': 'Charles Lowe', 'Date Last Modified': datetime.date(2023, 5, 26), 'Last Modified By': 'Adam Ayala'}]","[{'Case ID': 'PI044', 'Task ID': 1131, 'Task Description': 'Appear news real western force involve accept check power.', 'Assigned To': 'Michael Castro', 'Task Due Date': datetime.date(2023, 4, 28), 'Task Status': 'Pending'}, {'Case ID': 'PI044', 'Task ID': 95067, 'Task Description': 'Writer late great four community board style though right.', 'Assigned To': 'Darren Chavez', 'Task Due Date': datetime.date(2023, 4, 27), 'Task Status': 'Pending'}]","[{'Case ID': 'PI044', 'Note ID': 63701, 'Note Content': 'Like inside measure. Real brother agreement at while hit. Final article piece.', 'Created By': 'Anne Mayer', 'Date Created': datetime.date(2023, 4, 29)}, {'Case ID': 'PI044', 'Note ID': 48021, 'Note Content': 'Million again attack final weight must. There land coach more exactly but pay a.', 'Created By': 'Ashley Herrera', 'Date Created': datetime.date(2023, 4, 28)}, {'Case ID': 'PI044', 'Note ID': 27282, 'Note Content': 'Message there truth what history always city. Score network cultural us offer couple bill. Major develop think head trade through nice.', 'Created By': 'David Potts', 'Date Created': datetime.date(2023, 4, 27)}]"
PI045,Anything claim subject general such stand almost.,Slip and Fall,Open,Amanda Johnson,2021-07-14,2022-06-14,[],"[{'Case ID': 'PI045', 'Document ID': 37127, 'Document Name': 'Month collection live enter.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2021, 9, 15), 'Created By': 'Steven Cervantes', 'Date Last Modified': datetime.date(2022, 11, 21), 'Last Modified By': 'Christopher Walls'}, {'Case ID': 'PI045', 'Document ID': 83565, 'Document Name': 'Over single safe on eight.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2022, 1, 14), 'Created By': 'Brenda Gallagher', 'Date Last Modified': datetime.date(2022, 8, 26), 'Last Modified By': 'David White'}, {'Case ID': 'PI045', 'Document ID': 60547, 'Document Name': 'Statement son energy news interest.', 'Document Type': 'Accident Report', 'Date Created': datetime.date(2021, 11, 20), 'Created By': 'Margaret Horn', 'Date Last Modified': datetime.date(2021, 12, 31), 'Last Modified By': 'Jerry Green'}, {'Case ID': 'PI045', 'Document ID': 65753, 'Document Name': 'Benefit them difficult.', 'Document Type': 'Witness Statement', 'Date Created': datetime.date(2022, 2, 1), 'Created By': 'Karen Reynolds', 'Date Last Modified': datetime.date(2023, 5, 4), 'Last Modified By': 'Heather Brown'}]","[{'Case ID': 'PI045', 'Task ID': 13023, 'Task Description': 'Across job government western ahead seek travel.', 'Assigned To': 'Scott Hayes', 'Task Due Date': datetime.date(2021, 8, 3), 'Task Status': 'Completed'}, {'Case ID': 'PI045', 'Task ID': 75022, 'Task Description': 'Surface every table myself result many investment available vote share.', 'Assigned To': 'Diane Ferrell', 'Task Due Date': datetime.date(2022, 3, 5), 'Task Status': 'Pending'}, {'Case ID': 'PI045', 'Task ID': 32029, 'Task Description': 'Assume tend friend set animal staff thought new ground affect.', 'Assigned To': 'Megan Hill', 'Task Due Date': datetime.date(2021, 11, 26), 'Task Status': 'Completed'}]","[{'Case ID': 'PI045', 'Note ID': 56200, 'Note Content': 'Member American cell deal run use. Commercial clearly also body act artist.', 'Created By': 'Isaac Jacobs', 'Date Created': datetime.date(2021, 10, 31)}, {'Case ID': 'PI045', 'Note ID': 44102, 'Note Content': 'Responsibility how firm the begin figure me like. Better production perform.', 'Created By': 'Daniel Banks', 'Date Created': datetime.date(2021, 9, 19)}, {'Case ID': 'PI045', 'Note ID': 60930, 'Note Content': 'Computer have ask fly smile. The prevent position budget join. National American best pick job imagine.', 'Created By': 'Daniel Arroyo', 'Date Created': datetime.date(2022, 5, 4)}, {'Case ID': 'PI045', 'Note ID': 14732, 'Note Content': 'Manage yes successful ok. Whose one person nice.', 'Created By': 'Joshua Smith', 'Date Created': datetime.date(2021, 11, 2)}, {'Case ID': 'PI045', 'Note ID': 91459, 'Note Content': 'Artist begin I million arm. Out today artist several stuff. Night recent exist camera begin.', 'Created By': 'Michael Mcguire', 'Date Created': datetime.date(2021, 11, 13)}]"
